road_type,weather,is_rush_hour,actual_speed_kmh
primary,heavy_rain,0,26.53
secondary,moderate_rain,0,36.39
primary,flooded,0,23.45
secondary,clear,0,36.06
primary,light_rain,1,27.57
secondary,clear,0,31.22
secondary,clear,1,24.74
primary,clear,0,43.75
primary,clear,0,42.64
primary,flooded,1,16.25
primary,clear,1,30.39
residential,clear,1,17.11
primary,light_rain,1,28.64
residential,clear,0,25.08
primary,light_rain,0,43.43
secondary,clear,1,22.3
secondary,clear,0,35.64
secondary,clear,0,33.62
secondary,heavy_rain,0,25.4
secondary,moderate_rain,0,34.88
primary,flooded,0,20.57
residential,clear,1,16.97
residential,clear,0,23.72
residential,clear,0,27.26
primary,clear,1,31.55
secondary,clear,0,36.04
residential,light_rain,1,18.88
primary,clear,0,43.43
primary,clear,1,30.26
secondary,heavy_rain,0,25.23
secondary,light_rain,0,34.35
residential,clear,1,16.96
primary,clear,1,30.52
secondary,clear,0,35.97
primary,clear,1,27.98
primary,light_rain,0,39.13
primary,clear,1,28.85
residential,heavy_rain,0,13.57
secondary,moderate_rain,0,32.6
secondary,light_rain,0,33.05
primary,clear,0,42.35
residential,clear,0,26.23
primary,moderate_rain,0,43.62
residential,clear,0,25.76
secondary,clear,0,35.95
primary,clear,0,44.18
secondary,clear,1,19.84
primary,moderate_rain,0,42.08
secondary,clear,1,20.9
secondary,clear,1,24.35
primary,clear,0,40.06
residential,clear,1,16.58
primary,heavy_rain,0,29.7
secondary,heavy_rain,0,21.72
residential,clear,0,26.44
secondary,clear,0,35.76
primary,clear,1,29.69
residential,light_rain,0,25.59
secondary,clear,0,34.46
primary,light_rain,1,28.81
primary,clear,0,43.22
secondary,light_rain,0,34.34
secondary,clear,0,33.99
secondary,moderate_rain,1,21.11
residential,clear,1,16.34
secondary,light_rain,0,33.77
primary,clear,0,42.09
primary,clear,0,44.48
primary,light_rain,0,40.65
secondary,clear,1,23.33
primary,moderate_rain,0,43.82
secondary,light_rain,0,35.72
secondary,clear,1,25.41
residential,clear,1,15.96
primary,clear,0,44.38
residential,clear,0,23.41
primary,clear,0,42.79
residential,light_rain,0,24.27
primary,clear,0,42.34
primary,clear,0,42.66
secondary,clear,1,22.85
primary,clear,1,27.64
primary,clear,0,44.48
secondary,light_rain,0,34.09
secondary,moderate_rain,1,23.27
secondary,clear,1,23.84
secondary,flooded,1,11.88
secondary,clear,0,35.14
primary,heavy_rain,0,28.42
primary,light_rain,1,30.71
primary,light_rain,0,43.55
residential,clear,0,25.03
secondary,clear,0,34.33
secondary,clear,1,23.41
secondary,light_rain,0,34.99
residential,clear,1,19.1
primary,moderate_rain,0,40.01
secondary,clear,1,24.58
secondary,moderate_rain,0,35.77
secondary,clear,0,32.77
primary,clear,1,28.85
residential,clear,1,15.25
residential,clear,1,17.5
secondary,clear,0,34.46
secondary,moderate_rain,0,33.89
residential,clear,0,24.38
secondary,clear,0,36.08
primary,moderate_rain,1,28.7
secondary,clear,0,35.35
secondary,heavy_rain,0,23.64
secondary,flooded,0,18.36
secondary,clear,0,34.61
residential,clear,1,19.4
residential,clear,0,23.15
secondary,moderate_rain,0,31.49
primary,clear,1,26.4
residential,light_rain,0,21.42
residential,moderate_rain,0,25.35
primary,clear,0,44.03
residential,moderate_rain,0,26.16
residential,light_rain,0,22.96
secondary,clear,0,36.12
secondary,heavy_rain,0,23.48
primary,light_rain,0,42.66
primary,clear,0,44.14
primary,clear,0,42.07
residential,clear,1,20.73
primary,clear,0,45.2
primary,flooded,1,13.76
primary,clear,0,41.56
secondary,light_rain,0,34.23
residential,clear,0,25.27
primary,clear,1,30.72
primary,heavy_rain,0,27.13
secondary,heavy_rain,0,23.83
secondary,clear,1,21.3
primary,clear,1,29.77
secondary,clear,0,34.84
primary,clear,1,32.02
primary,clear,1,26.8
secondary,clear,0,37.06
secondary,flooded,0,14.94
residential,clear,0,23.01
primary,heavy_rain,0,26.36
secondary,light_rain,1,23.53
secondary,clear,0,33.24
primary,heavy_rain,0,26.86
secondary,clear,1,23.89
primary,heavy_rain,0,29.56
residential,clear,1,16.91
primary,clear,1,28.87
secondary,heavy_rain,1,18.51
primary,clear,1,29.34
residential,heavy_rain,0,17.92
secondary,heavy_rain,0,23.61
secondary,clear,0,33.35
primary,clear,0,44.02
secondary,clear,0,34.02
primary,light_rain,0,42.27
residential,moderate_rain,1,16.87
primary,clear,1,26.2
primary,clear,0,40.79
primary,light_rain,0,43.77
secondary,clear,0,34.0
secondary,moderate_rain,1,22.05
primary,light_rain,0,42.66
secondary,heavy_rain,0,22.82
secondary,clear,0,35.63
secondary,clear,0,34.92
secondary,clear,1,23.89
secondary,clear,0,33.95
secondary,flooded,0,17.79
primary,clear,1,30.77
primary,moderate_rain,1,27.5
residential,clear,1,18.22
residential,clear,0,24.92
primary,clear,0,44.3
primary,light_rain,0,42.6
secondary,clear,0,34.95
secondary,clear,0,35.52
primary,heavy_rain,0,30.7
primary,clear,0,43.55
secondary,clear,1,24.31
secondary,clear,0,34.45
primary,clear,1,31.47
primary,heavy_rain,0,29.84
primary,clear,0,43.32
secondary,clear,0,34.82
primary,clear,1,30.58
primary,light_rain,0,41.5
secondary,clear,1,20.92
primary,light_rain,0,42.52
secondary,clear,1,25.38
primary,clear,0,45.59
primary,moderate_rain,1,28.19
primary,clear,0,43.27
secondary,heavy_rain,1,16.55
residential,clear,0,24.6
residential,moderate_rain,0,25.12
primary,clear,1,28.99
secondary,light_rain,0,35.88
primary,clear,0,44.28
primary,clear,1,30.33
residential,clear,0,24.69
primary,clear,0,46.09
primary,clear,0,43.93
primary,clear,1,29.49
primary,clear,0,42.06
primary,moderate_rain,0,41.92
secondary,light_rain,1,23.33
secondary,light_rain,1,21.98
residential,clear,1,16.41
residential,clear,1,16.6
primary,clear,0,43.28
primary,moderate_rain,0,39.42
primary,clear,0,43.0
secondary,clear,1,23.02
primary,light_rain,1,28.55
secondary,clear,1,25.14
secondary,heavy_rain,0,26.48
secondary,heavy_rain,0,24.42
secondary,clear,0,33.15
primary,clear,0,42.68
residential,clear,1,17.74
secondary,light_rain,0,35.08
primary,clear,0,44.68
residential,light_rain,1,16.4
secondary,clear,0,34.45
residential,clear,0,27.63
secondary,clear,0,35.09
secondary,moderate_rain,1,21.45
primary,clear,1,31.33
primary,moderate_rain,0,39.82
secondary,clear,0,29.76
secondary,clear,0,36.15
primary,heavy_rain,0,30.25
primary,heavy_rain,0,29.5
residential,clear,0,23.05
residential,clear,0,24.91
secondary,moderate_rain,1,22.55
primary,clear,0,42.39
primary,clear,0,45.32
primary,heavy_rain,0,27.31
residential,clear,0,25.47
primary,clear,0,44.99
secondary,clear,0,35.57
primary,light_rain,1,30.45
secondary,light_rain,1,24.0
secondary,clear,1,24.23
residential,clear,0,25.55
primary,clear,1,30.04
primary,light_rain,0,41.83
primary,clear,1,27.16
residential,heavy_rain,0,18.14
residential,clear,0,26.74
secondary,flooded,0,17.88
secondary,clear,1,22.77
secondary,moderate_rain,1,20.64
primary,clear,1,29.25
residential,clear,0,22.98
secondary,heavy_rain,0,21.16
primary,heavy_rain,1,19.43
secondary,clear,0,33.85
primary,light_rain,1,29.1
primary,clear,0,42.96
secondary,heavy_rain,0,22.49
primary,clear,1,26.56
secondary,clear,0,33.72
primary,clear,1,27.89
primary,clear,0,41.36
primary,heavy_rain,1,18.97
primary,clear,0,41.48
secondary,clear,1,23.34
primary,clear,0,43.56
secondary,light_rain,0,33.12
secondary,clear,0,35.64
secondary,clear,1,21.55
residential,heavy_rain,0,15.04
secondary,clear,0,34.83
primary,light_rain,1,29.61
primary,light_rain,0,43.71
primary,clear,0,45.62
secondary,heavy_rain,0,22.83
primary,light_rain,1,28.39
secondary,clear,0,33.45
secondary,clear,0,33.12
primary,light_rain,1,28.93
secondary,clear,1,22.43
primary,heavy_rain,0,30.73
primary,clear,1,26.92
secondary,clear,1,24.32
secondary,clear,0,33.49
secondary,clear,1,22.36
secondary,clear,0,35.81
primary,heavy_rain,0,27.87
residential,light_rain,0,23.77
secondary,light_rain,0,33.14
secondary,light_rain,0,37.04
primary,moderate_rain,1,27.43
secondary,clear,0,35.08
primary,heavy_rain,0,28.58
primary,clear,0,43.53
residential,heavy_rain,1,10.34
primary,light_rain,0,42.11
residential,clear,0,25.59
secondary,clear,0,33.71
primary,clear,1,30.75
secondary,clear,0,36.78
residential,clear,1,17.76
secondary,clear,0,35.1
residential,clear,0,20.51
secondary,heavy_rain,0,24.03
secondary,light_rain,1,22.57
residential,heavy_rain,0,16.34
primary,light_rain,0,39.56
secondary,clear,0,35.74
primary,clear,0,41.03
residential,light_rain,0,24.72
residential,flooded,1,9.78
primary,clear,0,42.5
secondary,heavy_rain,0,25.22
residential,heavy_rain,0,15.59
primary,light_rain,0,43.31
secondary,heavy_rain,0,21.44
residential,clear,0,26.55
primary,flooded,1,15.87
secondary,light_rain,0,35.06
primary,clear,1,28.53
residential,heavy_rain,0,14.61
residential,clear,0,24.41
residential,clear,1,18.52
secondary,clear,1,23.78
residential,clear,0,22.67
